"Techstack","Links"
"LLM, SFT, RLHF, ICE, ST notebooks, MT notebooks, prompt engineering, data curation, data clean-up, data labeling, evaluation datasets","https://www.turing.com/case-study/enhancing-llm-reasoning-and-coding-capabilities"
"LLM, RLHF, multimodal integration, API calls, plugins, third-party tools, programming language interpreters, web browsers, image interpreters, file systems, technology stack, tool integration, data exchange, compatibility testing, automated programming, data science, CRISP-DM methodology, data cleaning, data transformation, data visualization, creative design, image generators, real-time information retrieval, interactive education, team scaling, model advancement, test cases","https://www.turing.com/case-study/transforming-llm-with-multimodal-integration-and-rlhf"
"LLM, RLHF, evaluation datasets, hallucinations, data analysis, cognitive capabilities, exploratory data analysis, data science, data cleaning, data plotting, quality assurance, dual-development approach, Python notebooks, Microsoft Visual Studio Code, metadata generator, JSON files, golden answer methodology, web interface, logical reasoning, offline reviews, live reviews, metadata, model accuracy, hallucination reduction","https://www.turing.com/case-study/enhancing-llm-precision-with-rlhf-loops"
"LLM, Python functions, multistep task execution, function diversity, user interface, AI systems, function integration, usage management, data labeling, function dataset, cross-referencing algorithm, tracking system, complex assignments, use cases, problem-solving approaches, user experience, script automation, function sequence, parameters","https://www.turing.com/case-study/elevating-llm-versatility-with-custom-python-functions"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular,.NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
